Table A-1. Rankings of 2010 U.S. midterm candidates based on Twitter voter-candidate engagement indicators,,,,,,,,,,,,,,,
Rank,Number of followers,,,Number of @mentions,,,Number of retweets,,,Number of @mentions per tweet,,,Number of retweets per tweet,,
,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score
50,Mike Berryhill (R),H,3436,Jesse Kelly (R),H,718,Allen West (R),H,425,Linda McMahon (R),S,8.66,Ted Strickland (D),G,3.82
51,Dana Rohrabacher (R),H,3250,John Kitzhaber (D),G,674,Duke Aiona (R),G,420,susana martinez (R),G,8.40,Bill Keating (D),H,3.79
52,Rob Portman (R),S,3207,Robert Hurt (R),H,674,Andrew Cuomo (D),G,399,Nikki Haley (R),G,8.39,Dan Onorato (D),G,3.70
53,David Harmer (R),H,3156,David Vitter (R),S,661,Charles K. Djou (R),H,395,Neil Abercrombie (D),G,8.31,Jon Hulburd (D),H,3.69
54,Terry Goddard (D),G,3024,Robin Carnahan (D),S,640,Tom Perriello (D),H,394,Jim Himes (D),H,8.24,Rodney Glassman (D),S,3.69
55,Dino Rossi (R),S,2829,Chris Dudley (R),G,636,John Kitzhaber (D),G,393,Russ Feingold (D),S,8.11,Jerry McNerney (D),H,3.68
56,Carl Paladino (R),G,2825,John Boozman (R),S,628,Terry Goddard (D),G,391,Chet Edwards (D),H,8.09,Tom Emmer (R),G,3.58
57,Terri McCormick (R),H,2799,Richard Burr (R),S,613,Kirsten Gillibrand (D),S,389,Joe Heck (R),H,8.05,Sean Duffy (R),H,3.52
58,Robert Bentley (R),G,2607,Neil Abercrombie (D),G,582,Gabrielle Giffords (D),H,377,Jerry McNerney (D),H,7.94,Randy Demmer (R),H,3.50
59,Jack Conway (D),S,2606,Rick Snyder (R),G,580,Charlie Crist (I),S,376,Jack Conway (D),S,7.89,Robert Hurt (R),H,3.40
60,Robin Carnahan (D),S,2575,Kirsten Gillibrand (D),S,568,John Boozman (R),S,372,Dan Coats (R),S,7.71,David Harmer (R),H,3.39
61,Virg Bernero (D),G,2538,Nathan Deal (R),G,546,Ed Martin (R),H,367,John Boozman (R),S,7.57,susana martinez (R),G,3.33
62,Michael Bennet (D),S,2429,Tom Tancredo (3),G,544,Lee Fisher (D),S,367,Daniel Webster (R),H,7.49,Charlie Melancon (D),S,3.30
63,Tom Emmer (R),G,2407,Mick Mulvaney (R),H,542,Richard Burr (R),S,347,Scott Walker (R),G,7.37,Bill Flores (R),H,3.27
64,Chris Coons (D),S,2383,Jay Townsend (R),S,521,Peter Shumlin (D),G,332,David Vitter (R),S,7.34,Richard Burr (R),S,3.24
65,Mary Jo Kilroy (D),H,2345,Daniel Webster (R),H,517,Rand Paul (R),S,330,Tarryl Clark (D),H,7.04,Brad Ellsworth (D),S,3.06
66,Andrew Cuomo (D),G,2333,Dan Benishek (R),H,509,Jay Townsend (R),S,324,Rob Portman (R),S,7.00,Lou Barletta (R),H,3.02
67,Rick Snyder (R),G,2304,Blanche Lincoln (D),S,502,Jake Towne (3),H,310,Vincent Sheheen (D),G,6.71,Terry Goddard (D),G,3.01
68,Mary Fallin (R),G,2289,Colleen Hanabusa (D),H,502,Bill Keating (D),H,303,Glenn Nye (D),H,6.56,Jay Townsend (R),S,3.00
69,Vincent Sheheen (D),G,2283,Rick Perry (R),G,496,Chet Culver (D),G,301,Mark Kirk (R),S,6.29,Cedric Richmond (D),H,2.92
70,Jim Himes (D),H,2228,Lisa Murkowski (3),S,483,Ted Strickland (D),G,294,Mike Kelly (R),H,6.17,Joe J. DioGuardi (R),S,2.92
71,Ron Johnson (R),S,2205,Adam Kinzinger (R),H,471,Rob Portman (R),S,286,John Hickenlooper (D),G,6.06,Dan Benishek (R),H,2.86
72,Patty Murray (D),S,2173,Martin O'Malley (D),G,462,Scott Walker (R),G,285,Scott McAdams (D),S,6.02,Barbara Mikulski (D),S,2.84
73,Raj Goyle (D),H,2172,Terry Bransrad (R),G,457,Nathan Deal (R),G,280,Joe Sestak (D),S,5.98,Tom Ganley (R),H,2.81
74,Ryan L. Frazier (R),H,2103,Dan Coats (R),S,455,Blanche Lincoln (D),S,278,Ben Lange (R),H,5.92,Jim Himes (D),H,2.76
75,Tom Tancredo (3),G,2065,Michael Bennet (D),S,434,Lisa Murkowski (3),S,269,Brian Sandoval (R),G,5.79,Raul Labrador (R),H,2.74
76,Bill Brady (R),G,2008,Bill Brady (R),G,431,Mick Mulvaney (R),H,265,Richard Burr (R),S,5.73,Tom Perriello (D),H,2.72
77,Jon Hulburd (D),H,2007,Mary Fallin (R),G,422,Jon Runyan (R),H,256,Dan Debicella (R),H,5.60,Tom Tancredo (3),G,2.68
78,Richard Blumenthal (D),S,2004,Jerry McNerney (D),H,421,Vincent Sheheen (D),G,251,Sean Duffy (R),H,5.48,Andrew Cuomo (D),G,2.68
79,John Kitzhaber (D),G,1985,"Robert Leroy \Bob\"" Ehrlich"" (R)",G,414,Dan Onorato (D),G,244,Jeff Flake (R),H,5.45,John Hickenlooper (D),G,2.67
80,Elaine Marshall (D),S,1909,Joe Manchin (D),S,405,Tom Emmer (R),G,240,Ryan L. Frazier (R),H,5.32,Rob Portman (R),S,2.65
81,Charlie Melancon (D),S,1903,Jackie Walorski (R),H,395,Tom Foley (R),G,237,Harry Reid (D),S,5.31,Daniel Webster (R),H,2.57
82,Glenn Nye (D),H,1902,Charles K. Djou (R),H,384,Tom Barrett (D),G,236,Virg Bernero (D),G,5.25,Virg Bernero (D),G,2.55
83,Lee Fisher (D),S,1895,Jon Runyan (R),H,381,Van Tran (R),H,226,Roy Blunt (R),S,5.19,Dina Titus (D),H,2.54
84,Roy Barnes (D),G,1879,Elaine Marshall (D),S,373,John Raese (R),S,224,Michael Bennet (D),S,5.17,Rick Perry (R),G,2.46
85,Gabrielle Giffords (D),H,1865,Vicky Hartzler (R),H,366,Sam Caligiuri (R),H,209,Andrew Cuomo (D),G,5.09,Ann Marie Buerkle (R),H,2.44
86,Raul Labrador (R),H,1861,Terry Goddard (D),G,358,Bryan Lentz (D),H,205,Dan Onorato (D),G,4.83,Robin Carnahan (D),S,2.44
87,Charles K. Djou (R),H,1786,David Schweikert (R),H,344,Sean Duffy (R),H,204,Jay Townsend (R),S,4.82,Nathan Deal (R),G,2.43
88,Blanche Lincoln (D),S,1773,Vincent Sheheen (D),G,342,Colleen Hanabusa (D),H,202,Rocky Raczkowski (R),H,4.81,Jesse Kelly (R),H,2.42
89,Tom Barrett (D),G,1771,Morgan Griffith (R),H,342,Rick Snyder (R),G,200,Nathan Deal (R),G,4.75,Jerry Moran (R),S,2.26
90,Ken Buck (R),S,1747,Brad Ellsworth (D),S,340,Paul Hodes (D),S,200,John Spratt (D),H,4.74,David Schweikert (R),H,2.26
91,"Robert Leroy \Bob\"" Ehrlich"" (R)",G,1732,Charlie Melancon (D),S,329,Pat Quinn (D),G,198,Cedric Richmond (D),H,4.69,Dan Coats (R),S,2.24
92,Nathan Deal (R),G,1705,Ed Martin (R),H,326,Jerry McNerney (D),H,195,Vicky Hartzler (R),H,4.69,Paul Hodes (D),S,2.22
93,Dan Onorato (D),G,1639,Kelly Ayotte (R),S,325,Martha Roby (R),H,191,Ron Johnson (R),S,4.62,Roy Blunt (R),S,2.20
